DATA_STRD_YR,LTTC_ID,CTPR_CD,SIGNGU_CD,LEGALDONG_CD,CENSUS_BNDR_CTPR_CD,CENSUS_BNDR_SIGNGU_CD,CENSUS_BNDR_EMD_CD,TKCAR_TRFC_QTY,AVE_TRAF_NMTM,AVE_TRAF_WAIT_TM,PBTS_TRAF_TRFC_RATE
2023,다바83b17b,30,30200,3020011200,25,25040,25040640,355594.0,0.1481,114.0,0.4984
2023,다사21b42a,28,28110,2811013800,23,23010,23010670,3152950.0,0.1437,344.0,0.2329
2023,마라42b89b,26,26470,2647010100,21,21130,21130510,1787832.0,0.1434,411.0,0.1173
2023,다사29a38a,28,28177,2817710600,23,23090,23090730,4260616.0,0.1299,445.0,0.2794
2023,다바68b69a,44,44131,4413111800,34,34011,34011590,150032.0,0.088,819.0,0.131
2023,다사73b50a,41,41450,4145010800,31,31180,31180560,1602629.0,0.1156,383.0,0.0807
2023,다사29a39a,28,28200,2820010100,23,23050,23050530,3715233.0,0.1669,450.0,0.0675
2023,다사43b50a,11,11500,1150010200,11,11160,11160530,4406327.0,0.1249,452.0,0.1351
2023,다사36a62a,41,41285,4128510500,31,31103,31103560,1282225.0,0.1247,521.0,0.1837
2023,다사65b58b,41,41310,4131010100,31,31120,31120510,311542.0,0.7216,777.0,0.0393
2023,다사65b61a,41,41360,4136011100,31,31130,31130570,384528.0,0.5245,958.0,0.0599
2023,다사45a39a,41,41210,4121010400,31,31060,31060660,617376.0,0.3953,769.0,0.1189
2023,다사61b52a,11,11230,1123010600,11,11060,11060870,1152945.0,0.8022,739.0,0.0468
2023,마라37b81a,26,26140,2614010600,21,21020,21020570,207585.0,0.3254,509.0,0.1779
2023,다사61a72a,41,41150,4115010900,31,31030,31030600,244812.0,0.3364,615.0,0.091
2023,다바78a33a,36,36110,3611011000,29,29010,29010515,313325.0,0.5023,636.0,0.0748
2023,다사29a38b,28,28200,2820010100,23,23050,23050530,3349859.0,0.095,593.0,0.3164
2023,다사48a53a,11,11410,1141011900,11,11130,11130720,1121389.0,0.5778,767.0,0.0587
2023,라라17a62a,46,46230,4623010700,36,36060,36060530,124646.0,0.0993,1388.0,0.0179
2023,다사57b43a,11,11650,1165010800,11,11220,11220510,449621.0,0.6263,885.0,0.043
2023,라라92b95a,48,48127,4812725000,38,38114,38114110,75568.0,0.1442,685.0,0.0866
2023,다사60a70a,41,41150,4115010100,31,31030,31030690,328029.0,0.5454,1048.0,0.0353
2023,다사40b12b,41,41590,4159026200,31,31240,31240150,109848.0,0.6624,721.0,0.0872
2023,다사48b60a,11,11380,1138011400,11,11120,11120710,398830.0,0.5183,606.0,0.1411
2023,마마54a32a,31,31710,3171025900,26,26510,26510140,14917.0,0.1017,455.0,0.2501
2023,마마51b04b,26,26710,2671025600,21,21510,21510130,419332.0,0.3125,1012.0,0.0391
2023,다사65a31a,41,41135,4113510300,31,31023,31023770,113110.0,0.8097,750.0,0.0281
2023,다사53b19b,41,41113,4111313100,31,31012,31012560,675100.0,0.3712,543.0,0.1555
2023,다사67b37b,41,41131,4113110300,31,31021,31021580,146540.0,0.4312,659.0,0.0721
2023,다마68b56b,45,45111,4511112500,35,35011,35011600,53745.0,0.1876,955.0,0.0077
2023,라라13a40b,46,46130,4613013000,36,36020,36020650,59188.0,0.1732,914.0,0.0757
2023,다사74a14b,41,41461,4146110100,31,31191,31191510,261003.0,0.0898,720.0,0.2997
